project,repo,tag,digest,size
chartsimage,kubectl,1.29.0-debian-11-r1,sha256:45d8a24c9f79e125a5e2ed1a7a7d5d80478217e0010f523d457079dff7202a99,77.34MB
chartsimage,nginx,1.25.3-debian-11-r2,sha256:54a3456d2c0f3e5fa39637002a3a97763c3779b4642854dbded1e11a8292f091,34.04MB
chartsimage,mongodb,7.0.4-debian-11-r4,sha256:bfb77749e91d40ddd3a8ddc7a541d77ee6feddd41057edaa04db2e0ed9f4ab97,220.40MB
convimage,convfirst,1.4,sha256:5927b126f68e8423b493e0b41dc8bfd10efbd462e8195eb5958d7185f732c2f1,211.97MB
custom,mysql,5.7,sha256:72ff99465bf2b10d4e6ebf62abc01c9b00363f9edb51976c86ce6525ee46619a,180.54MB
custom,mysql,5.6,sha256:9acb21f8c23fd87baec3b7a9bdf5671da604edd2bba09116de662bfc97352787,129.37MB
custom,alpine,3.14,sha256:75a315c4e1e07a8c2ffd06b38afb803299df16504e2a5b026742515034d77670,6.30MB
demo,openshift-nginx,latest,sha256:b6a09b124c14ea2bb81f6081fb0d6e4f5214b9a1c98f6173fffc8e07d2382ca3,42.54MB
demo,openshift-nginx,stable,sha256:b6a09b124c14ea2bb81f6081fb0d6e4f5214b9a1c98f6173fffc8e07d2382ca3,42.54MB
demo,secloudit-demo-app,secloudit-demo-app,sha256:49268e4b566de0f36f2d9e9cd1f19c241540551f084f3ebe3b40b69af87fa876,12.59MB
demo,secloudit,demo,sha256:4f46b440f906969c4756802561bc8090d0ddd3b1e02659523254493cc26b24da,37.04MB
demo,secloudit,secloudit,sha256:1b6d464ed541153ae1355b14b822e0b87cf8fbabcd072584a31a992093aa6b8d,40.06MB
demo,alpine,latest,sha256:d7342993700f8cd7aba8496c2d0e57be0666e80b4c441925fc6f9361fa81d10e,2.67MB
demo,golang,s2i,sha256:ce08085b65a50eb16ce921d06f613eae0b3a172fc309d676f218d62559cdd4cd,103.86MB
demo,golang,1.16-alpine,sha256:4a4352b4af82d07bebf8bbfc0deede7ebf28904d5f41cfb34959ae1073ee3261,103.85MB
dev,k8s-helm,v3.6.0,sha256:ae732f126f1a6903c611fa1da14b7edd34a2ea2c8c70a8d6f688be015ed020c9,16.55MB
dev,golan-test,latest,sha256:041fba5751e8502195d471a9c69797919be382b1a49d997ff03b57a2a4675809,3.13MB
dev,mongo,4.4,sha256:00342ee3143be7a3b1bfc144b2887e59ce71564400cf7395b01e8275c5cb461c,165.12MB
dev,pause,2.0,sha256:7b8e6ddd6aa2da43ecad8997e6a984616f4de4727195e48eae2019c1975a78ef,0.33MB
dev,maven,3.6.3-openjdk-17,sha256:c74c4d8f7b470c2c47ba3fcb7e33ae2ebd19c3a85fc78d7b40c8c9a03f873312,376.34MB
dev,maven-secloudit,test,sha256:6b48183dd375cd61aed4f61d771b186866fa4c6215933c2304c7f04bcf0f3f35,480.10MB
dev,nginx-hello,green,sha256:bbd5a4b4fd51cff4222a66f4c696f7cb6539aa267dc14b54c966d2f69742d54f,8.20MB
dev,hello-app,1.0,sha256:845f77fab71033404f4cfceaa1ddb27b70c3551ceb22a5e7f4498cdda6c9daea,11.91MB
dev,nodeapp,latest,sha256:3c93db0c6579258903ad21d6df92b0a8c19a7c1209887ada2d0833279284647a,251.46MB
dev,hpa-example,latest,sha256:93c2a5cc37c3088c06f020fa65c05206970b32b49f10406756426ba7b1e54c87,158.76MB
dev,busybox,1.34,sha256:dacd1aa51e0b27c0e36c4981a7a8d9d8ec2c4a74bf125c0a44d0709497a522e9,0.74MB
dev,kaniko,demo,sha256:0f6be705140a820689c04a7f86afc02cc8af9a90abb9aaea0f92d738e06eb8ba,30.06MB
dev,kaniko,v1.7.0-debug-auth,sha256:9732909cb896599091e68a0c82b9cbcd5f269f100308b4a9dee4cb433d925828,40.26MB
dev,kaniko,v1.7.0-debug,sha256:c4227961fbdc1d637a5d72a5a68dc88fef3c3ab6a7a35981a0d575dd25b37d44,40.26MB
dev,executor,debug,sha256:0f6be705140a820689c04a7f86afc02cc8af9a90abb9aaea0f92d738e06eb8ba,30.06MB
dev,executor,v1.7.0,sha256:19b934353e409c72b7e71ad9018ed7ba4505682b81da87fb99c7b9dffdb4372a,27.47MB
dev,perl,5.8,sha256:f19082b0b6d81caf6a833f1e05b0d439b1a51cf5af83614de00cd245579b6aa7,274.15MB
dev,perl,5.36.0,sha256:517f8c39ab0a2e8b3c7be37373c253a6d42c28d40be3306d96acf0d8484031f7,322.13MB
dev,photo-view,v4.0,sha256:7d15f568474240f26be9a3013c4bfbf65a8bad4b80ee4188f869be64cb4e4527,67.98MB
dev,photo-view,v3.0,sha256:bbf6711ebcfbd3388dc690a3b18a928dc30a9d7d4ffde96e8cdfa9acc177e021,66.71MB
dev,python,3.6,sha256:d097a4907a8ec079df5ac31872359c2de510f82214c0448e926393b376d3b60d,328.77MB
dev,tomcat-demo,76c38f0aa59f315d72ab8b0ebd62474105c98160,sha256:b1944f81ad2d905a06881dc61dff42800cee66ad722f5661ae4e9fc1beb142e0,66.72MB
dev,tomcat-demo,eb78bfac051daad5ffbc7bc043d2d3d0ff8717fe,sha256:7f5ac3c0751d96e1c8f1d39936ddb50dea6994bb76ef45f1d00e678075e6951e,66.72MB
dev,dasa-web,2.2,sha256:b0b36e2670c1261669176c0afbf6bbd3fa25e9721d206dca3897b89b4306a6a7,103.49MB
dev,dasa-web,2.0,sha256:818879c68759952b3d7722e491f6048aae3ed624fe3870b11accc3f0e44b0a87,103.49MB
dev,mysql,8.0,sha256:713a3c26c5130f06fe17b16b314f1058f9efeb07330164da0e81d97d5a57d50b,126.68MB
dev,mysql,5.6,sha256:897086d07d1efa876224b147397ea8d3147e61dd84dce963aace1d5e9dc2802d,98.21MB
dev,tomcat,9.0,sha256:3d8284127516be19008906f10b849d2cd5accec97bf4872a7da9074f6c1b15e1,240.55MB
dev2,centos,8.2.2004,sha256:fd84102fc72960dd1b8da0ee3b4c13e3b0c1d2a085de118bc4c97821cd986e02,71.40MB
dev2,centos,8,sha256:a1801b843b1bfaf77c501e7a6d3f709401a1e0c83863037fa3aab063a7fdb9dc,79.65MB
dnsutils,dnsutils,1.3,sha256:143e8cd723f58a8b341526c060d3577e8a129c4fb7bb71cbba343297028331cb,106.84MB
docker-registry,registry,2.8.0,sha256:712c58f0d738ba95788d2814979028fd648a37186ae0dd4141f786125ba6d680,8.78MB
dragonfly,telegraf-test,0.0.3,sha256:6f0ba9ce3182772c322b269226f6b856515b1ed165507dbe6cbd1c2f20f8216d,153.42MB
dragonfly,telegraf-test,0.0.2,sha256:fc07bfb36559e29701408f0894fb9a211dbedce24afbeffd143bd55e9a726449,140.00MB
dragonfly,telegraf-test,0.0.1,sha256:17658fe772cb5ee0cbd853692fd26e5794e8d7b0686e78f7c331c55ad7dd5ae2,140.00MB
dragonfly,ubuntu,latest,sha256:2832484d524ec6b2dccef6a1c359d2f6ff768b1bbc345aedd033bbabde153644,105.89MB
dragonfly,influxdb,1.8-alpine,sha256:da9e53019e9e915278d9b6a199a64cc8486e13528411101f75385bb7f2e709a1,56.23MB
dragonfly,telegraf,1.15.5,sha256:fcb2b819a970884e144f1632bfce9e534deb544bc7fba9baa33d5945ac8ce6dc,148.72MB
dragonfly,telegraf,1.15.6,sha256:45a2e2e1b4b16f109111d63e13e39f829310975d7508056c8309d05050ede29a,148.72MB
dragonfly,telegraf,1.15.4,sha256:edad287ff912cf3718e8672a007f0f47105cc5fe294ec77e88fb9d0c38a3e03f,120.32MB
dragonfly,telegraf,1.15.4-2,sha256:b0c7e0d69d30c0e97ee2ccc14c4ac84404eae258f9eab7a4c9a81fa4e1e8b713,120.31MB
dragonfly,telegraf,1.15.2,sha256:4d195a642e1af892162c1513780d9bcb3d919b4bfed76e9feec3416e5e307a8a,102.32MB
extender-test,se-custom-scheduler-v1.23.0,1.0,sha256:1e447e265048e7efaf59f4c0d4a3535d50ec30b7cbeec7a8f29559836c400b14,47.17MB
extender-test,se-custom-scheduler-v1.22.0,1.0,sha256:b963618172b7617e727f8c5b5e192959a7d0f285138ed8c8aefc757491b723df,44.96MB
extender-test,se-custom-scheduler-v1.21.0,1.0,sha256:2e8d46cfa1217338dee499ad7e37a2ace0dd2580d0f47f0bb96bffc8d806d211,43.75MB
extender-test,se-custom-scheduler-v1.24.0,1.0,sha256:4ee235a5e05647acfcd67c11490ff9f3bc36cf3d010ac6b3356786fd3f8205e5,46.69MB
gitbook,master,43,sha256:7dbeb0e9febce468ba0575df5cdaf33bffacadc6b266df259baf81f1adc1f115,423.46MB
gitbook,master,12,sha256:88cef4d2e50ad3175573579f5842283b9b3fce7593dfceb5b4c15500079622ba,423.41MB
gitbook,master,42,sha256:4f1babd5d6a42713fb472da856e55b4cf142c0ddd10734b18f7cbfd3c1a3ac52,423.46MB
gitbook,master,latest,sha256:56cad09808f46fc64ee65c4426aabce2d9917276558f9c0d76880500eb478043,423.29MB
gitbook,master,a7215a11,sha256:56cad09808f46fc64ee65c4426aabce2d9917276558f9c0d76880500eb478043,423.29MB
gitbook,master,993b7391,sha256:46cc5aceae6669569ec9c435748c2e1f1c681c2045354d6bf8c8398576d5ffdd,423.29MB
gitbook,master,c905f755,sha256:1409799f1ed8c9154a782eaf90d6c0b7e62151ecbd8c0b952251a10b7fa5786c,423.26MB
gitbook,master,41,sha256:cbeaee7e2f883c9b19d0aa5785d2704eac29c775421c7072584a4134b723952a,423.33MB
gitbook,master,11,sha256:5175200090a33c7f03d9d8fcb93ec21de927d6c3b04bca4cdb934eedb8dab48e,423.28MB
gitbook,master,40,sha256:fe485dab20904b33cfedcfc44ffe9c2a1b30db0038c24af2134c501d837c8061,423.33MB
gitbook,master,8e6fb445,sha256:c5845f90550ac7c773f62d588ac1e5ade4a5f579991e327423c4cea9eca38bb0,423.26MB
gitbook,master,39,sha256:d6cd9048a4730736657c53936e9662c7b0a3da18d244330af549327806c784ba,423.32MB
gitbook,master,10,sha256:3ad7a531ae56b960be57d47aa97839d2f44d43cf658ed80d165ed8e10d89c255,423.28MB
gitbook,master,38,sha256:cc8d0ee9cc9c60d8cc005ac2892361bbe28ea1a8a25ce723298d2b9164298cb8,423.32MB
gitbook,master,9,sha256:c738d6854830566c2b2d608d206af6bbbc9de2cc5a20e427c1688b52612d95bf,423.27MB
gitbook,master,8,sha256:2c9b05f4a7b73a7974234f02c2bbbcb196ecf146a86995e69082c2a230fdb3a3,423.25MB
gitbook,master,6,sha256:d35cd6512f90a3e30d3eeaba15bf7c3eebff15d1c2925da677975fa685612fd8,423.24MB
gitbook,master,37,sha256:eb60437b2541e97ac22d6fca042c6cb03581e93e06e4900ddcda1dbd3de780ba,423.29MB
gitbook,master,bf862924,sha256:b6de58f8f9e7f71c5a471ac8b1139849c70c74be1541be00a3833c968b466346,423.24MB
gitbook,master,5,sha256:d1fe77f3d21a7ca632ecbf3fffe5ce62656aca77ebecd7f40ae9d51d1cd588f5,423.25MB
gitbook,master,36,sha256:2e7833d3b0f6f8a42a42715ba73143e7994e179d3d96de8b9a3b02fc09171954,423.29MB
gitbook,master,3,sha256:6fe4fde008dcaccd00453e6d8de1b2e61a12acfad7c691cd0744f57ef48ce2e5,423.24MB
gitbook,master,2,sha256:12aa80c57417beb1e12a0d18d8caff048cf8cd6d4db8a3e75caa7b775c59383b,423.24MB
gitbook,master,33,sha256:d9416150e69a625524c68d12afd5a2cbbd5871dcb0ce22c3c3c468a11f92e1bf,423.27MB
gitbook,master,afb3513b,sha256:7a94d69f8c46399c38d909c511c3e5b1ae2ecb5aa47e203004a488b4888096ab,423.24MB
gitbook,master,7d4234f5,sha256:574229846891c14378d4cb5918c7923d1849d802a2d1cca602a13a9664d27dda,423.24MB
gitbook,master,a0e9162c,sha256:235654f2de5e11a05c1ce5ac2a9b683eb2968781d52d1eaf73d39a4112804b97,423.23MB
gitbook,master,32,sha256:47d6b682dfedc1f746b87d490ffdcc3db336995e9548bdd9eba17da38757da1c,423.25MB
gitbook,master,31,sha256:a6639c86b3cbe315cb54a41e3da76cf81cee0513bd709941831ed4c5e78d42eb,423.25MB
gitbook,master,30,sha256:ff1f69f43673e158ab2abb46e5a970685f0a69b81dfc85496c6042d3c080191c,423.25MB
gitbook,master,29,sha256:63b105c6b89d98f35cb3f9659559ea6aa43aa89873eca6af2184d23e524fa0a1,423.25MB
gitbook,master,28,sha256:f9003ef53d9aab987f7249237357db330615500d9da1ce3c1b0e45e73dfaf61b,423.25MB
gitbook,master,27,sha256:746e85f25e4c5c2d20f30c2e3b80b4705de279082d8225417b322c270a6683fa,423.25MB
gitbook,master,26,sha256:89a3ebb6f55e35420b4aafe92a9ca8679f05149e467b9874d640e7f8063a3b59,423.25MB
gitbook,master,25,sha256:b1d2c873c318ceae1c2d5193aab1a35a0762a755a3325db392d77469da0916ad,423.25MB
gitbook,master,24,sha256:8fa5c66c3a50a9d3ded059d1ae7b307fc6567e9beb6e46e5e4daea8787de7996,423.24MB
gitbook,master,23,sha256:a5863470d15899fcbe7ba09e547fd126615d10af42b7a1f2db2d0f96534724eb,423.24MB
gitbook,master,22,sha256:90bc7c015a25bbe2ded7e38eac97617f6c9cbabc095a1e8cc36b3458d2dbcf60,423.24MB
gitbook,master,21,sha256:f81e68193ce3978d8e2b8bdce855efdd01a93176c4b3192105cdef776f182d7d,423.24MB
gitbook,master,20,sha256:0884067289523ecf98c397263666b75d7b144948539f6eb91899e400cdf9db46,423.24MB
gitbook-credential,master,latest,sha256:f7b6bb4cca10273e1de1efa3518f3114831a0513ea6f2a56413afa13abdfc8e6,144.91MB
gitbook-credential,master,d2721d53,sha256:f7b6bb4cca10273e1de1efa3518f3114831a0513ea6f2a56413afa13abdfc8e6,144.91MB
gitbook-credential,master,30ed772e,sha256:c84d2e2c3356a68e1581fbba9206b20a3e70893e10243500eaf792a9fe087b2d,144.58MB
gitbook-credential,master,57145bff,sha256:d7513186d8d8ae68760a7bea7c68d72508d7f4991ffb4a06d8797c3447619540,144.58MB
gitbook-credential,master,63923258,sha256:90395b06a581e6597c4e02c08ee226b79cdfb1b8e5d8659c1bd9274541d8ff7f,144.15MB
gitbook-credential,master,532be6b5,sha256:19ebd0c1bcd1c318dce32e9b6c6544bc4880d4ecbb3db48b16a7c4cf41094b9b,144.16MB
gitbook-credential,master,test,sha256:4d8d5848b479c181587b60dda0eecec261750e30758e464e838f4ee9a22c1ca5,144.16MB
gitbook-credential,master,0f29efa6,sha256:7aa6a8ec4b52546a924aa4cec8ab4450aa1dbb93d2538ac66d5e5bd366d2ea52,144.16MB
gitbook-credential,master,7158b129,sha256:e33975585e9f0be15d44013ff3b7017c146d5f84a61fb0ad5dfe0e2ca5a55531,144.16MB
gitbook-credential,master,3dbf1d55,sha256:35fbd87363bd924260f985bee930b7499cbb3abc7854420fc3914638877a03a2,144.16MB
gitbook-credential,master,f0a24a20,sha256:e3e74cd5a98fe57c57aea3f948c02403fd39ca52d7b516d30dd951301ba16625,144.15MB
gitbook-credential,master,1059fd75,sha256:9824e4bc70611f7be00ca8c44eee71e9600f651eca47abc942f9ec0176e9fde3,143.53MB
gitbook-credential,update-cicd-argo,latest,sha256:b2e6030fc60608e03f80c83fcb9ad230455a12a22cddeac43975afb0f803996f,143.53MB
gitbook-credential,update-cicd-argo,afa08247,sha256:b2e6030fc60608e03f80c83fcb9ad230455a12a22cddeac43975afb0f803996f,143.53MB
gitbook-credential,update-cicd-argo,2e55ae63,sha256:88246c6565bc3cc8a9304226b16cfc7837f74e6c43be4194f2ad0d9ed4053f2c,143.53MB
gitlab,gitlab-ce,12.1.17,sha256:6f30f9eb536d0ac72c2c1e84a5272669257187e9623eac02e4077cac2181b1a7,718.77MB
