project,repo,tag,digest,size
calico,cni,v3.26.3,sha256:5044fb56a6bc9d39b7742614a57442da1c81cd0f50f71c1e43cc752d9bfc38ca,89.32MB
calico,apiserver,v3.26.1,sha256:d95339527e1a8d4354caa70737e4f953619ecb1271f7e36c7d6eba12486a6c98,39.01MB
cb-dragonfly-test,cb-dragonfly,cortado-test-0.4,sha256:8d5e0f1e33a0ab6fdb435e6ab9433069d26a06599017cde8ca4efc65037200f5,112.01MB
cb-operator,kong,latest,sha256:e7f75a2e891f86caf9a70483ad7cbde119d7594149517fafe619b27bee61d349,46.86MB
cb-operator,cb-restapigw,0.5.0,sha256:86a11bbb16ff39268aad002ed02cbcf2a1bd02a259a16b5a58c6073532b885fb,37.57MB
cb-operator,cb-webtool,0.5.0,sha256:cafbce99996c08d8c80b1fd9f9a726728a78e4b6ad0e41603ffb4665e7b0136b,178.03MB
chartsimage,chartmuseum,v0.16.1,sha256:5490d7640e39b1d1d89b0bfa110aa93a2d94537507eff3dcf736818fb7ad395a,23.06MB
chartsimage,nginx,1.25.3-debian-11-r3,sha256:df0669ec5ad10940f0a9815d67f443d083a25835866f251426ecdbacf3f25129,33.99MB
cicd-tester,hello-ci-tester-ui-2024,1.0-dev,sha256:bd5ffcb2d16e5fcd65ed085aff8850af07d7fe03944eb037cf207db2da403f17,18.27MB
cicd-tester,nginx,alpine,sha256:a97dd748c61782687030e80daa151d829843b57d3d2afe72ad6b63d7c3e37402,17.54MB
cicd-tester,node,20.8.0,sha256:8c7685c60f11acf445ece2e2859e77cf893495c9a13fb4cd9a53faebf74b155c,380.53MB
cicd-tester,mysql,8.1.0,sha256:799c64d67a556dfd3cc6246613a548505a6877ae4d7804a11afb870035a339d0,159.14MB
cicd-tester,convui,1.1,sha256:bce922dcadeed3605ada7b83111a2ec872b0cb4768fd42ef07cc0dbcb560a873,10.11MB
cicd-tester,convfirst,1.6,sha256:e60642d4a72df62abb3f5eb9618b50eed5e929372966a21c9c6b9eb4eadcee0a,211.97MB
cicd-tester,busybox,1.28,sha256:74f634b1bc1bd74535d5209589734efbd44a25f4e2dc96d78784576a3eb5b335,0.69MB
convimage,busybox,1.28,sha256:74f634b1bc1bd74535d5209589734efbd44a25f4e2dc96d78784576a3eb5b335,0.69MB
convimage,convfirst,1.6,sha256:e60642d4a72df62abb3f5eb9618b50eed5e929372966a21c9c6b9eb4eadcee0a,211.97MB
convimage,convui,1.1,sha256:bce922dcadeed3605ada7b83111a2ec872b0cb4768fd42ef07cc0dbcb560a873,10.11MB
convimage,mysql,8.1.0,sha256:799c64d67a556dfd3cc6246613a548505a6877ae4d7804a11afb870035a339d0,159.14MB
demo,nginx,latest,sha256:bb129a712c2431ecce4af8dde831e980373b26368233ef0f3b2bae9e9ec515ee,54.10MB
demo-devops-frontend,main,90-9a7f440,sha256:9c1d455e22bf8531e65abed4c7994342ad067f293b9a48c2eacfe2d1e5fe47b6,36.66MB
demo-devops-frontend,main,latest,sha256:9c1d455e22bf8531e65abed4c7994342ad067f293b9a48c2eacfe2d1e5fe47b6,36.66MB
demo-devops-frontend,main,89-9a7f440,sha256:9c1d455e22bf8531e65abed4c7994342ad067f293b9a48c2eacfe2d1e5fe47b6,36.66MB
demo-devops-frontend,dev,latest,sha256:5e34b982057949ae72d0e09c6dc1d208396d9e76b5b1f73375e94c710d634c1f,36.66MB
demo-devops-frontend,dev,83-8b76b94,sha256:5e34b982057949ae72d0e09c6dc1d208396d9e76b5b1f73375e94c710d634c1f,36.66MB
demo-devops-frontend,dev,58-ef48fbc,sha256:3afb515b75ec33746488a9edd65e32d13771dc3e1054ac5e0f7bb0b36e23f1b6,36.66MB
demo-devops-frontend,dev,57-ef48fbc,sha256:3afb515b75ec33746488a9edd65e32d13771dc3e1054ac5e0f7bb0b36e23f1b6,36.66MB
demo-devops-frontend,dev,55-2a9aa86,sha256:4cea53be3ae05e663b7c33f42e23ce769d58d2705f4e2b775235415ef29182e3,36.66MB
demo-devops-frontend,dev,45-788f35f,sha256:44803c61b3ace31f8c8e8b573873ce6222807f2a98eadfef3b9d1dde308437c0,36.66MB
demo-devops-frontend,dev,43-6aaeaed,sha256:5d9bda3fdaafbfcd5242d2877fe7cb54bd9edead6a3131eba70020eee4887137,36.66MB
demo-devops-frontend,dev,42-6aaeaed,sha256:5d9bda3fdaafbfcd5242d2877fe7cb54bd9edead6a3131eba70020eee4887137,36.66MB
demo-devops-frontend,dev,41-10c9178,sha256:65298d343fdbd42a55906a67b721f3c86b50110595a1ee9254008a5040c39475,36.66MB
demo-devops-frontend,dev,39-31a6dbc,sha256:59ae0ceef7e7e2b9b0672cc1ee104b47f47ac99d9e00eb32d9557a2dcba54ffe,36.65MB
demo-devops-frontend,dev,38-7341cd7,sha256:a3d9704a8c17ffcd2b0d91359740fe6ce63e8be8c0e91c22c699d6f2906faa5f,36.65MB
demo-devops-frontend,dev,32-4676c55,sha256:62a11a4cafdde9146acfe60df485189f82d519e658c1cef5946c85dc99bf5631,36.31MB
demo-devops-frontend,dev,31-57c8728,sha256:94d633659aec51279295f5ce02e63d21738bdb0025173fef7e28123705408ec5,36.30MB
demopjt,demo-pjt-frontend,front-ver5,sha256:4a2cd3f8f2ba2798c6516b3ddf8765441d607e67a90bee2cad5238f4f42a7211,105.30MB
demopjt,demo-pjt-frontend,front-ver4,sha256:a62bc4ee3a459ec574171e692c043f39b1a8ae726fc17a8fff2f963f853fdc16,132.60MB
demopjt,demo-pjt-frontend,front-ver3,sha256:aca24153786b3efa83ff0292294b005022ca7de3a36d275dd757c78cc73bbce0,132.53MB
demopjt,demo-pjt-frontend,front-ver2,sha256:a620f3f92df7c601dc6e3d5ecd79a30b46131f1e23e4b9f8fa91fc5a26a08968,130.61MB
